name,address,phone_numbers,websites
Asian Pacific Islander Legal Outreach (San Francisco Office),"1121 Mission St, San Francisco, CA 94103",(415) 567-6255,http://www.apilegaloutreach.org 
Bay Area Legal Aid,"Central Support Office, 1735 Telegraph Ave, Oakland, CA 94612",,1-888-330-1930	http://www.baylegal.org 
California Human Development Corporation (Santa Rosa Office),"3315 Airway Dr., Santa Rosa, CA 95403",(707) 523-1155 ext. 4721,http://www.californiahumandevelopment.org 	kathy.differding@cahumandevelopment.org
California Rural Legal Assistance (Coachella Office),"1460 6th St, Coachella, CA 92236",(760) 398-7261,http://www.crla.org 
California Rural Legal Assistance (Fresno Office),"3747 E. Shields Ave., Fresno, CA 93726",(559) 441-8721,http://www.crla.org 
California Rural Legal Assistance (Marysville Office),"511 D Street, Marysville, CA 95901",(530) 742-5191,http://www.crla.org 
California Rural Legal Assistance (Modesto Office),"1111 I Street, Suite 310, Modesto, CA 95354",(209) 577-3811,http://www.crla.org 
California Rural Legal Assistance (Salinas Office),"3 Williams Rd, Suite D, Salinas, CA 93905",(831) 757-5221,http://www.crla.org 
California Rural Legal Assistance (Santa Maria Office),"2050 G S. Broadway, Santa Maria, CA 93454",(805) 922-4563,http://www.crla.org 
California Rural Legal Assistance (Stockton Office),"145 E. Weber Ave, Stockton, CA 95202",(209) 946-0605,http://www.crla.org 
California Rural Legal Assistance (Vista Office),"640 Civic Center Drive, Suite 180, Vista, CA 92804",(760) 966-0511,http://www.crla.org 
California Rural Legal Assistance Foundation (Fresno Office),"814 N. Van Ness, Fresno, CA 93728",(559) 486-6278,http://www.crlaf.org 
California Rural Legal Assistance Foundation (Sacramento Office),"2210 K Street, Suite 201, Sacramento, CA 95816",(916) 446-7904,http://www.crlaf.org 
Canal Alliance,"91 Larkspur Street, San Rafael, CA 94901",(415) 454-2640,http://www.canalalliance.org 	contact@canalalliance.org
Casa Cornelia Law Center,"2760 5th Ave, Suite 200, San Diego, CA 92103",(619) 231-7788,http://www.casacornelia.org 	lawcenter@casacornelia.org
Catholic Charities - Refugee & Immigrant Services (San Francisco Office),"990 Eddy Street, First Fl, San Francisco, CA 94109",(415) 972-1200,http://www.catholiccharitiessf.org 	moreinfo@catholiccharitiessf.org
Catholic Charities - Refugee & Immigrant Services (San Mateo Office),"36 37th Avenue, San Mateo, CA 94403",(650) 295-2160 ,http://catholiccharitiessf.org/learn-more-refugee-and-immigrant-services/ 
Catholic Charities of Los Angeles - Esperanza Immigrant Rights Project,"1530 James Wood Blvd, Los Angeles, CA 90015",(213) 251-3505,http://esperanza-la.org 
Catholic Charities of Los Angeles - Immigration & Refugee Services (Los Angeles Office),"1530 James M. Wood Blvd, Los Angeles, CA 90015",(213) 251-3411,http://www.catholiccharitiesla.org 
Catholic Charities of Los Angeles - St. Margaret Center (Inglewood Office),"10217 Inglewood Ave, Lennox, CA 90304",(310) 672-2208,http://www.catholiccharitiesla.org 
Catholic Charities of Monterey - Support Services: Immigration & Citizenship (Salinas Office),"1705 2nd Ave, Salinas, CA 93905",(831) 422-0602,http://ministries.dioceseofmonterey.org/ministries/index.asp?id=21337 	jsifuentes@catholiccharitiescentralcoast.org
Catholic Charities of Monterey - Support Services: Immigration & Citizenship (San Luis Obispo Office),"3592 Broad St, Suite 104, San Luis Obispo, CA 93401",(805) 541-9110,http://ministries.dioceseofmonterey.org/ministries/index.asp?id=21340 	jsifuentes@catholiccharitiescentralcoast.org
Catholic Charities of Monterey - Support Services: Immigration & Citizenship (Watsonville Office),"656 Main Street , Watsonville, CA 95076",(831) 722-2675 ext. 4235,http://ministries.dioceseofmonterey.org/ministries/index.asp?id=21338 	jsifuentes@catholiccharitiescentralcoast.org
"Catholic Charities of Orange County - Immigration, Citizenship Program","1820 E. 16th St, Santa Ana, CA 92701",(714) 347-9610,http://www.ccoc.org 
"Catholic Charities of Sacramento, Inc. - Sacramento Food Bank & Family Services","3308 Third Avenue, Sacramento, CA 95817",(916) 313-7604,http://sacramentofoodbank.org/services/immigration-legal-services.html 	immigration@sacramentofoodbank.org
Catholic Charities of San Bernardino - Refugee & Immigration Services (Moreno Valley Office),"23623 Sunnymead Blvd, Suite 3, Moreno Valley, CA 92553",(909) 388-1243,http://www.ccsbriv.org 	info@ccsbriv.org
Catholic Charities of San Bernardino - Refugee & Immigration Services (San Bernardino Office),"1450 N. D St, San Bernardino, CA 92405",(909) 388-1239,http://www.ccsbriv.org 	info@ccsbriv.org
Catholic Charities of San Diego - Immigrant Services (Chula Vista Office),"293 H Street, Chula Vista, CA 91910",(619) 498-0722,http://www.ccdsd.org 
Catholic Charities of Santa Clara County - Immigration Legal Services,"2625 Zanker Road, Suite 201, San Jose, CA 95134",(408) 944-0691,http://www.catholiccharitiesscc.org 
Catholic Charities of Santa Rosa - Immigration Program,"987 Airway Ct, Santa Rosa, CA 95403",(707) 578-6000,http://www.srcharities.org 	info@srcharities.org
Catholic Charities of Solano (Vacaville Office),"40 Eldridge St, Suite 9C, Vacaville, CA 95688",(707) 644-8909,http://www.csssolano.org 
Catholic Charities of Solano (Vallejo Office),"125 Corporate Pl, Suite A, Vallejo, CA 94590",(707) 644-8909,http://www.diocese-sacramento.org/social_service_ministry/catholic_charities.html 	admin@csssolano.org
Catholic Charities of Stockton - Immigration Legal Services,"1106 N. El Dorado St., Stockton, CA 95202",(209) 444-5910,http://ccstockton.org 
Catholic Charities of the East Bay - Immigration Program (Concord Office),"3540 Chestnut Ave, Concord, CA 94519",(925) 825-3099,http://www.cceb.org 	immreform@cceb.org
Catholic Charities of the East Bay - Immigration Program (Richmond Office),"217 Harbour Way, Richmond, CA 94801",(510) 234-5110,http://www.cceb.org 	immreform@cceb.org
Catholic Charities of the East Bay - Immigration Project (Oakland),"433 Jefferson St, Oakland, CA 94607",(510) 768-3100,http://www.cceb.org 	immreform@cceb.org
"Catholic Charities, Diocese of San Diego - Immigration Services (El Centro Office)","250 W. Orange St, El Centro, CA 92243",(760) 353-6822,http://www.ccdsd.org/immigration.php 
"Catholic Charities, Diocese of San Diego - Immigration Services (San Diego Office)","4575 Mission Gorge Pl, San Diego, CA 92120",(619) 287-1270,http://www.ccdsd.org 
Center for Employment Training - Immigration & Citizenship Program (San Jose Office),"701 Vine St, Suite 115, San Jose, CA 95110",(408) 534-5451,http://www.cet-icp.org 
Central American Resource Center (Los Angeles Office),"2845 W. 7th St, Los Angeles, CA 90005",(213) 385-7800,http://carecen-la.org/ 	info@carecen-la.org
Central American Resource Center (San Francisco Office),"3101 Mission St, Suite 101, San Francisco, CA 94110",(415) 642-4400,http://www.carecensf.org 	info@carecensf.org
Central California Legal Services,"2115 Kern St, Suite 1, Fresno, CA 93721",(559) 570-1200,http://www.centralcallegal.org 
Centro de Ayuda Legal para Inmigrantes (CALI),"1125 Benton St., Santa Clara, CA 95050",(650) 938-4041,http://www.cali-immigration.org 	info@cali-immigration.org
Centro Legal de La Raza,"3400 E. 12th Street, Oakland, CA 94601",(510) 437-1554,http://www.centrolegal.org 	info@centrolegal.org
"Coachella Valley Immigration Service and Assistance, Inc.","934 Vella Road, Palm Springs, CA 92264",(760) 327-1579,http://www.cvisa.org 	mrkler@cvisa.org
Coalition for Humane Immigrant Rights of Los Angeles,"2533 W. 3rd St, Suite 101, Los Angeles, CA 90057",(213) 353-1333,http://www.chirla.org 	info@chirla.org
Coalition to Abolish Slavery & Trafficking,"5042 Wilshire Blvd, Suite 586, Los Angeles, CA 90026",(213) 365-1906,http://www.castla.org 	info@castla.org
Coastside Hope,"99 Avenue Alhambra, #1089, El Granada, CA 94018",(650) 726-9071,http://www.coastsidehope.org 
Community Lawyers Inc.,"1216 E. Compton Blvd, Compton, CA 90706",(310) 635-8181,http://community-lawyers.org 	daca@community-lawyers.org
Community Legal Services in East Palo Alto,"2117 University Ave, Suite B, East Palo Alto, CA 94303",(650) 326-6440,http://www.clsepa.org 	info@clsepa.org
Council for the Spanish Speaking (Stockton Office),"224 S. Sutter St., Stockton, CA 95203",(209) 644-2600,http://www.elconcilio.org 
Council on American-Islamic Relations - Immigrants' Rights Center,"2180 West Crescent Ave., Suite F, Anaheim, CA 92801",(714) 776-1177,https://ca.cair.com/losangeles 	ircla@cair.com
Dolores Street Community Services,"938 Valencia Street, San Francisco, CA 94110",(415) 282-6209,http://www.dscs.org 	immigration@dscs.org
East Bay Community Law Center,"2921 Adeline St, Berkeley, CA 94703",(510) 548-4040,http://www.ebclc.org 	webinquiry@ebclc.org
East Bay Sanctuary Covenant,"2362 Bancroft Way, (In the basement), Berkeley, CA 94704",(510) 540-5296,http://eastbaysanctuary.org 	admin@eastbaysanctuary.org
Educators for Fair Consideration (E4FC),"354 Pine St., Suite 700, San Francisco, CA 94104 ",(415) 787-3432,http://www.e4fc.org 	legalservices@e4fc.org
El Concilio Family Services,"301 South C Street, Oxnard, CA 93030",(805) 486-9777,http://www.elconciliofs.org 	reception@elconciliofs.org
El Rescate Legal Services,"1501 W. 8th St., Suite 100, Los Angeles, CA 90017",(213) 387-3284,http://www.elrescate.org 	ssanabria@elrescate.org
Employee Rights Center - Immigration Program,"4265 Fairmount Ave, Suite 210, San Diego, CA 92105",(619) 521-1372,http://www.weberc.net 
Episcopal Diocese of Los Angeles - Interfaith Refugee & Immigration Service,"3621 Brunswick Ave, Los Angeles, CA 90039",(323) 667-0489,http://www.iris-la.org 	mtumilty@ladiocese.org
Filipino Advocates for Justice (Oakland Office),"310 8th Street, Suite 309, Oakland, CA 94607",(510) 465-9876,http://www.filipinos4justice.org 
Greater Bakersfield Legal Assistance,"615 California Ave, Bakersfield, CA 93304",(661) 325-5943,http://www.gbla.org 
Human Rights Project,"201 S. Santa Fe Ave., Suite 101, Los Angeles, CA 90012",(213) 680-7801,http://www.hrproject.org 	judy@igc.org
Immigrant Defenders Law Center,"634 S Spring Street, 10th Floor, Los Angeles, CA 90014",(213) 634-0999,http://www.immdef.org 	info@ImmDef.org
Immigrant Hope Santa Barbara,"935 San Andres St., Santa Barbara, CA 93101",(805) 963-0166,http://www.immigranthope.org/santabarbara 	diane.martinez@immigranthope.org
Immigration Center for Women and Children (Los Angeles Office),"634 S Spring Street, Suite 727, Los Angeles, CA 90014",(213) 614-1165,http://icwclaw.org 	info@icwclaw.org
Immigration Center for Women and Children (San Diego Office),"427 C St, Suite 208, San Diego, CA 92101 ",(619) 515-2200,http://icwclaw.org 	info@icwclaw.org
Immigration Center for Women and Children (San Francisco Office),"3543 18th Street, #32, San Francisco, CA 94110",(415) 861-1449,http://icwclaw.org 	info@icwclaw.org
Immigration Resource Center of San Gabriel Valley,"303 W. Colorado Blvd., Monrovia, CA 91016",(626) 509-9472,http://www.ircsgv.org 	info@ircsgv.org
Immigration Services of Mountain View,"1058 W Evelyn Ave, Suite 30, Sunnyvale, CA 94086",(650) 938-4911,http://www.ismv.org 	info@ismv.org
Institute for Children's Aid,"41745 Rider Way, Suite 2, Temecula, CA 92590",(951) 695-3336,http://instituteforchildrensaid.org 	info@4achild.org
International Institute of the Bay Area (Antioch Office),"3240 Lone Tree Way, Suite 202, Antioch, CA 94509",(925) 237-8582,http://www.iibayarea.org 	antioch@iibayarea.org
International Institute of the Bay Area (Fremont Office),"39155 Liberty Street, D450, Fremont, CA 94538",(510) 894-3639,http://www.iibayarea.org 	fremont@iibayarea.org
International Institute of the Bay Area (Napa Office),"1820 Jefferson Street, Napa, CA 94559",(707) 266-1568,http://www.iibayarea.org 	mfeldon@iibayarea.org
International Institute of the Bay Area (Oakland Office),"405 14th St, Suite 500, Oakland, CA 94612",(510) 451-2846,http://www.iibayarea.org 
International Institute of the Bay Area (Redwood City Office),"2600 Middlefield Rd, Redwood City, CA 94063",(650) 780-7530,http://www.iibayarea.org 	redwoodcity@iibayarea.org
International Institute of the Bay Area (San Francisco Office),"657 Mission Street, Suite 301, San Francisco, CA 94105",(415) 538-8100 ext. 206,http://www.iibayarea.org 	sfinfo@iibayarea.org
International Rescue Committee (Los Angeles Office),"625 N. Maryland Ave., Glendale, CA 91206",(818) 550-6220,http://www.rescue.org 
International Rescue Committee (Oakland Office),"440 Grand Avenue, Suite 500, Oakland, CA 94610",(510) 452-8222,http://www.rescue.org 
International Rescue Committee (Sacramento Office),"2020 Hurley Way, Suite 395, Sacramento, CA 95825",(916) 482-0120,http://www.rescue.org 
International Rescue Committee (San Diego Office),"5348 University Ave, Suite 205 A, San Diego, CA 92105",(619) 641-7510 ext. 250,http://www.rescue.org 	SanDiego@rescue.org
International Rescue Committee (San Jose Office),"1210 South Bascom Avenue, Suite 227, San Jose, CA 95128",(408) 277-0255,http://www.rescue.org 	SanJose@rescue.org
Jewish Family & Children's Services - Emigres,"2534 Judah St, San Francisco, CA 94122",(415) 449-2900,http://www.jfcs.org 	legalservices@jfcs.org
Jewish Family & Community Services East Bay (JFCS East Bay),"1855 Olympic Blvd., Suite 200, Walnut Creek, CA 94596",(925) 927-2000 ext. 606,http://www.jfcs-eastbay.org 	immigration@jfcs-eastbay.org
Jewish Family Service of San Diego ,"8788 Balboa Avenue, San Diego, CA 92123",(858) 637-3245,http://www.jfssd.org/site/PageServer?pagename=programs_refugee_main 	maryamg@jfssd.org
Jewish Family Services of Los Angeles - Immigration Program,"4311 Wilshire Blvd, Suite 211, Los Angeles, CA 90010",(323) 935-5303,http://www.jfsla.org 	jfsircp@jfsla.org
Jubilee Immigration Advocates,"3265 16th Street, San Francisco, CA 94103",(415) 813-1958,http://jubileelegal.org 	info@jubileelegal.org
Kids in Need of Defense (Fresno Office),"UC Merced Fresno Center, 550 E Shaw Ave, Suite 240, Room 10, Fresno, CA 93710",(559) 240-4184,https://supportkind.org 	atovar@supportkind.org
Kids in Need of Defense (Los Angeles Office),"350 South Grand Avenue, 32nd Floor, Chadbourne & Parke LLP, KIND-LA, Los Angeles, CA 90071",(213) 892-2043,http://www.supportkind.org 	cneblina@supportkind.org
Kids in Need of Defense (San Francisco Office),"200 Pine Street, Third Floor, San Francisco, CA 94104",(415) 694-7389,https://supportkind.org 	kannand@supportkind.org
Korean Community Center of the East Bay,"1700 Broadway, Suite 400, Oakland, CA 94612",(510) 547-2662,http://www.kcceb.org 	general@kcceb.org
Korean Resource Center (Los Angeles Office),"540 South Kingsley Drive, Los Angeles, CA 90020",(323) 937-3718,http://www.krcla.org 	krcla@krcla.org
"La Maestra Community Health Centers, Inc.","4135 Fairmont Ave., San Diego, CA 92105",(619) 564-7010,http://lamaestra.org 	chansen@lamaestra.org
La Raza Centro Legal,"474 Valencia St, Suite 295, San Francisco, CA 94103",(415) 575-3500,http://www.lrcl.org 	appt@lrcl.org
Law Foundation of Silicon Valley,"153 North 3rd Street, 3rd Floor, San Jose, CA 95112",(408) 293-4790,http://www.lawfoundation.org 
Legal Aid Foundation of Los Angeles (East Los Angeles Office),"5228 Whittier Blvd, Los Angeles, CA 90022",(213) 640-3883,http://www.lafla.org 
Legal Aid Foundation of Los Angeles (Long Beach Office),"601 Pacific Ave, Long Beach, CA 90802",(562) 435-3501,http://www.lafla.org 
Legal Aid Foundation of Los Angeles (Santa Monica Office),"1640 5th St, Suite 124, Santa Monica, CA 90401",(310) 899-6200,http://www.lafla.org 
Legal Aid Foundation of Los Angeles (South Los Angeles Office),"7000 S. Broadway, Los Angeles, CA 90003",(213) 640-3950,http://www.lafla.org 
Legal Aid Foundation of Los Angeles (West Office),"1102 Crenshaw Blvd, Los Angeles, CA 90019",(323) 801-7989,http://www.lafla.org 
Legal Aid Society of San Diego (Main Office),"110 S. Euclid Ave., San Diego, CA 92114",(877) 534-2524,http://www.lassd.org 
Legal Aid Society of San Diego (North County Office),"216 S. Tremont St., Oceanside, CA 92054",(877) 534-2524,http://www.lassd.org 
Legal Assistance for Seniors,"1970 Broadway, Suite 300, Oakland, CA 94612",(510) 832-3040,http://www.lashicap.org 	las@lashicap.org
"Legal Services for Children, Inc.","1254 Market St, 3rd Floor, San Francisco, CA 94102",(415) 863-3762,http://www.lsc-sf.org/ 
"Libreria del Pueblo, Inc. (Carousel Mall Office)","251 Carousel Mall, San Bernardino, CA 92401",(909) 888-1800,http://www.libreriadelpueblo.org 	morales6391@hotmail.com
Los Angeles Center for Law and Justice,"1241 S. Soto St, Suite 102, Los Angeles, CA 90023",(323) 980-3500,http://www.laclj.org 	info@laclj.org
McGeorge School of Law - Immigration Clinic,"3200 5th Ave, Sacramento, CA 95817",(916) 340-6080,http://www.mcgeorge.edu 	bnordahl@pacific.edu
My Sister's House,"3053 Freeport Blvd., No. 120, Sacramento, CA 95818",(916) 930-0626,http://www.my-sisters-house.org 	info@my-sisters-house.org
National Center for Lesbian Rights - Immigration Project,"870 Market St., Suite 370, San Francisco, CA 94102",(415) 392-6257,http://www.nclrights.org 	info@nclrights.org
Neighborhood Legal Services of Los Angeles County (Pacoima Office),"13327 Van Nuys Blvd, Pacoima, CA 91331",,1-800-433-6251	http://www.nlsla.org 	nls@nlsla.org
"Opening Doors, Inc.","1111 Howe Ave, Ste. 125, Sacramento, CA 95825",(916) 492-2591,http://www.openingdoorsinc.org 	info@openingdoorsinc.org
Pangea Legal Services (San Francisco Office),"350 Sansome St, Suite 650, San Francisco, CA 94104",(415) 254-0475,http://www.pangealegal.org 	welcome@pangealegal.org
Pangea Legal Services (South Bay Office),"The Sobrato Center for Nonprofits, 538A Valley Way, Building 3, Milpitas, CA 95035",(415) 254-0475,http://www.pangealegal.org 	welcome@pangealegal.org
Peace Over Violence - Legal Advocacy Project,"892 N. Fair Oaks Ave., Suite D, Pasadena, CA 91103",(626) 584-6191,http://www.peaceoverviolence.org 	info@peaceoverviolence.org
Pomona Economic Opportunity Center,"1682 W Mission Blvd, Pomona, CA 91766",(909) 397-4215,http://www.pomonadaylabor.org 	peoc.staff@pomonadaylabor.org
Public Counsel - Immigrants' Rights Project,"610 S. Ardmore Ave., Los Angeles, CA 90005",(213) 385-2977 ext. 296,http://www.publiccounsel.org 	aperez@publiccounsel.org
Public Law Center,"601 Civic Center Dr W., Santa Ana, CA 92701",(714) 541-1010,http://www.publiclawcenter.org 	info@publiclawcenter.org
"San Bernardino Community Service Center, Inc.","560 N. Arrowhead Ave, Suite 8B, San Bernardino, CA 92401",(909) 885-1992,sbcsc.org@gmail.com
"San Diego Volunteer Lawyer Program, Inc. - Immigration Program","707 Broadway, Suite 1400, San Diego, CA 92101",(619) 235-5656,http://sdvlp.org 	info@sdvlp.org
"Santa Clara University, Katharine and George Alexander Community Law Center - Clinical Programs","1030 The Alameda, San Jose, CA 95126",(408) 288-7030,http://law.scu.edu/kgaclc/index.cfm 
Santa Cruz County Immigration Project,"406 Main St, Suite 217, Watsonville, CA 95076",(831) 724-5667,http://www.cabinc.org/SCCIP/SCCIP_Main.htm 	Doug@cabinc.org
"SEACM, A Ministry to Refugees and Immigrants","2315 Placer St., Redding, CA 96001",(530) 241-5802,seacm@snowcrest.net
"Services, Immigrant Rights, and Education Network","1415 Koll Circle, Suite 108, San Jose, CA 95112",(408) 453-3003 ext. 106,http://www.siren-bayarea.org 	info@siren-bayarea.org
Social Justice Collaborative,"420 3rd Street, Suite 130, Oakland, CA 94607",(510) 992-3764,http://www.socialjusticecollaborative.org 	office@socialjusticecollaborative.org
Southwestern Law School - Immigration Law Clinic,"3050 Wilshire Blvd, Los Angeles, CA 90010",(213) 738-5574,http://www.swlaw.edu/academics/clinic/immigrationclinic 	immigrationclinic@swlaw.edu
Stanford Law School - Immigrants' Rights Clinic,"559 Nathan Abbott Way, Crown Quadrangle, Stanford, CA 94305",(650) 724-9068,http://www.law.stanford.edu/program/clinics/immigrantsrights 	immigrants.rights@law.stanford.edu
The Association of Salvadorans of Los Angeles,"660 S. Bonnie Brae St., Los Angeles, CA 90057",(213) 483-1244,http://www.asosal.org 	ttejada@asosal.org
TODEC Legal Center,"234 South D St., Perris, CA 92570",(951) 943-1955,http://www.todec.org 	info@todec.org
United Farm Workers Foundation (Bakersfield Office),"220 18th St, Bakersfield, CA 93301",(661) 324-2500,http://www.sisepuede.org 
United Farm Workers Foundation (Fresno Office),"2409 Merced St., Suite 103, Fresno, CA 93721",(559) 496-0700,http://www.sisepuede.org 	slugo@ufwfoundation.org
United Farm Workers Foundation (Salinas Office),"427 Pajaro St., Suite 3, Salinas, CA 93901",(831) 758-2611,http://www.ufwfoundation.org 
"University of California, Davis School of Law - Immigration Law Clinic","One Shields Ave, Building TB30, Davis, CA 95616",(530) 752-6942,http://www.law.ucdavis.edu/academics-clinicals/immigration-law-clinic.html 
University of San Diego School of Law - Immigration Clinic,"5998 AlcalÃ¡ Park, Barcelona 305, San Diego, CA 92110",(619) 260-7470,http://www.sandiego.edu/law/free-legal-assistance/index.php 
